End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
1/3/2014,EOMB,"OA Mobile, AL (OAMB)",EQUILON ENTERPRISES LLC DBA SHELL,Inland East Gulf JP8 JP4 JAA,10000022956,"2,110,845",-28,,-0.002,-17.1,-0.001,POS,,,,,-0.035,,,-13.86,,,PASS,*,,-140.2,-173.9,-181.5,-203.5,-242.3,1,-266.3,-1.2,-0.3,-47.1,,,,,-0.8007,,,49.1,,,-5.53,-45.2,-43.432,,,-23.5,1A,,,0,0,,-0.2,,,-0.18,,,,,,,,,,,,,-5,,-99,,,,,,,,,,,,,347647,STRAIGHT,JP8,1/1/2014,380004,DLA0102Z,1201,-1.79,,,,1B,,,,,,
1/6/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000023257,"3,140,214",,-30,-0.004,-18.5,,NEGATIVE,,,-0.05,,,,,-13.5,,,PASS,D86,,-177,-195,-202,-219,-245,,-262,-1.2,-1.2,,-61,,,,-0.8227,-40.4,,47,,,-5.92,,-43.1,,,-20,1B,,-275,0,<1,,,,,-0.1,,,,,,,,,,,,,-3,,-99,,-19.7,,,,,,-16.3,,,-42.9,,5747,,JP8,12/18/2013,1131203787,DLA1226Z,1778,,,,,,,,,,,
1/6/2014,EOBR,"OA Baton Rouge, LA",PLACID REFINING COMPANY LLC,Inland East Gulf JP8 JP4 JAA,10000023103,"2,131,416",18,,0.008,14.6,0.0007,,,,,,0.0871,,,14.1,,,PASS,,,155.3,173.7,179.9,199.6,240.3,,261.8,1,0,,48.9,,,,0.8012,,,-52.1,,,4.214,45,,43.321,,26,1A,,,1,<1,,0,,,0.08,,,,,,,,,,,,,13,,95,,,,,,,,9,,,,45.7,DFF58069,"DIST, CAUSTIC TREAT",JP8,12/11/2013,575139,DLA1212Z,3,,,,,1,,,,,,
1/6/2014,EOHS,"OA Houston Ship Channel, TX",EQUILON ENTERPRISES LLC DBA SHELL,Inland East Gulf JP8 JP4 JAA,10000023104,"3,359,118",,-30,-0.005,-18.2,-0.0014,,,,,,-0.122,,,,-14.37,,PASS,,D2887,-184,-192,-197,-209,-234,,-251,,,,-64,,,,-0.8047,-44.4,,,48.4,,-4.754,,-43.22,,,-23,1B,,,-1.5,1,,-1,,,-0.1,,,,,,,,,,,,,-4,,-90,,-19.4,,,,,,-18.7,,,-46.33,,2664,MILD HYDRATION,JP8,12/19/2013,2664,,G347,-1.03,,,,1B,,,,,,
1/7/2014,EOBA,"OA Bay Area, CA",EQUILON ENTERPRISES LLC DBA SHELL,Rocky Mountain West JP4/JP8/JAB/JAA,10000023600,"2,531,550",,30,0.005,0.6,0.0003,,,,,,,0.0021,,13.6,,,PASS,,,155,170,176,198,246,,275,1.3,0.5,,46,,,,0.822,40.7,,-61,,,4.5,,43.1,,,21,1A,,,0,1,,1,,0.06,,,,,,,,,,,,,,9,,94,,19.7,,,,,,9.8,,,35,,DFSN05701,HYDROPROCESSED,JP8,1/5/2014,TANK CERTIFICATION,DLA0105Z,536,0.3,,,,1B,,,,,,
1/8/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000023111,"1,049,580",,29,0.007,19.3,,NEGATIVE,,,0.07,,,,,13.5,,,PASS,D86,,177,193,199,216,243,,260,1.1,1.2,,61,,,,0.8217,40.6,,-50,,,5.62,,43.1,,,21,1B,,275,0,<1,,,,,0,,,,,,,,,,,,,3,,95,,20,,,,,,15.7,,,42,,5741,HYDROPROCESSING,JP8,10/28/2013,1131006056,EBS1105Z,1779,,,,,,,,,,,
1/8/2014,EOBA,"OA Bay Area, CA",VALERO MARKETING AND SUPPLY,Rocky Mountain West JP5,10000023701,"2,717,316",,30,0.004,17.9,,NEGATIVE,,,0.05,,,,,13.7,,,PASS,D86,,179,192,199,215,239,1,258,1,0.8,,61,,,,0.814,42.3,,-49,,,5.7,,43.2,,,20,1B,,275,0,<1,,,,,0.1,,,,,,,,,,,,,5,,98,95,20.1,,,,,,16.6,,,44.7,,5748,,JP8,12/27/2013,1131205704,DLA1230Z,1779,,,,,,,,,,,
1/8/2014,EOHS,"OA Houston Ship Channel, TX",EQUILON ENTERPRISES LLC DBA SHELL,Inland East Gulf JP8 JP4 JAA,10000023202,"4,200,882",,-30,-0.003,-17.6,-0.0014,,,,,,-0.1343,,,,-14.41,,PASS,,D2887,-186,-192,-197,-209,-236,,-252,,,,-63,,,,-0.8045,-44.2,,,48.4,,-4.824,,-43.231,,,-23,1B,,-1,-0.1,1,,-1,,,-0.13,,,,,,,,,,,,,-5,,-92,,-19.7,,,,,,-18,,,-46.28,,2666,MILD HYDRATION,JP8,12/26/2013,2666,DLA1228Z,G319,-1.13,,,,1B,,,,,,
1/8/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000023052,"22,710",18,,0.006,12.3,,NEG,,,,,0.0505,,,14.04,,,PASS,,,140.2,165.3,171.5,185.6,215.5,,238.1,1.4,0.6,,,38.9,,0.7937,,,,,-64.4,,3.2,46.7,43.3,,,26,1A,,,0,1,,0.6,,,,,,,,,,,,,,,,5,83,,,,,,,0.14,S,,S,10.4,40.5,,14-63-8,,JP8,12/29/2013,,DLA0102,PH 501 TK,,,,,1B,,,,,,
1/8/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000024052,"15,165",16,,0.006,15.2,,NEG,,,,,0.0519,,,13.92,,,PASS,,,151.7,167.1,172.7,186,214.8,,241.7,0.7,0,,,38.9,,0.7941,,,,,-64,,3.38,46.6,43.3,,,26,1A,,,0,1,,1.6,,,0.246,,,,,,,,,,,,,5,99,,,,,,,0.14,S,,S,10.5,40.5,,14-65-8,,JP8,1/11/2014,,,501,,,,,1B,,,,,,
